pdb_file,GLU49-ARG99,GLU49-ARG102,GLU49-ARG105,GLU49-ARG108,GLU59-ARG99,GLU59-ARG102,GLU59-ARG105,GLU59-ARG108
model_2_ptm_r3_seed1.pdb,11.12,2.96,5.56,13.38,27.46,19.48,12.81,11.54
model_4_ptm_r1_seed6.pdb,6.19,2.22,5.49,13.85,22.77,15.7,11.75,3.38
model_1_ptm_r0_seed3.pdb,8.8,2.53,6.75,15.16,24.67,17.21,9.79,2.31
model_2_ptm_r0_seed9.pdb,7.38,2.1,5.47,9.57,23.62,16.69,10.85,7.71
model_5_ptm_r0_seed7.pdb,10.12,2.95,5.38,11.39,24.77,18.69,11.81,5.98
model_3_ptm_r2_seed0.pdb,11.4,2.48,1.59,9.2,26.93,17.11,13.88,6.09
model_3_ptm_r1_seed8.pdb,9.04,3.6,2.88,10.56,24.78,18.77,13.29,5.44
model_3_ptm_r1_seed9.pdb,11.19,5.15,1.27,9.03,26.25,19.27,13.91,4.97
model_3_ptm_r2_seed1.pdb,9.35,3.95,1.84,9.12,25.39,19.4,13.79,7.91
model_5_ptm_r0_seed6.pdb,9.24,3.18,4.46,12.36,25.07,18.5,12.89,7.85
model_2_ptm_r0_seed8.pdb,9.21,1.85,5.6,11.1,25.9,18.31,11.67,7.7
model_1_ptm_r0_seed2.pdb,8.5,2.14,4.81,14.39,24.88,18.0,11.83,1.17
model_4_ptm_r1_seed7.pdb,6.1,2.38,5.58,12.52,22.63,16.15,10.84,5.54
model_2_ptm_r3_seed0.pdb,11.34,3.98,3.79,12.53,27.74,20.26,13.89,11.67
model_2_ptm_r3_seed2.pdb,10.51,2.93,5.21,13.18,27.84,19.55,14.02,12.58
model_4_ptm_r1_seed5.pdb,7.43,1.78,4.59,13.0,21.5,17.2,10.64,5.05
model_1_ptm_r0_seed0.pdb,9.13,3.75,8.42,12.72,22.93,15.16,8.66,5.09
model_1_ptm_r3_seed8.pdb,9.73,3.21,4.78,11.89,25.59,18.15,12.16,5.22
model_5_ptm_r0_seed4.pdb,7.6,2.81,2.55,9.4,23.42,17.72,12.27,5.86
model_3_ptm_r2_seed3.pdb,10.78,5.06,2.68,10.13,27.09,20.75,15.43,8.0
model_3_ptm_r2_seed2.pdb,11.2,4.99,1.56,10.13,26.78,19.73,14.47,5.94
model_5_ptm_r0_seed5.pdb,10.43,3.61,4.39,10.35,26.16,18.56,13.07,5.72
model_1_ptm_r3_seed9.pdb,11.51,5.46,1.66,8.12,27.22,20.7,13.74,7.32
model_1_ptm_r0_seed1.pdb,8.68,2.83,5.24,12.91,24.74,17.92,10.7,4.15
model_4_ptm_r1_seed4.pdb,9.58,2.2,4.86,12.57,25.06,18.09,11.85,5.76
model_2_ptm_r3_seed3.pdb,11.25,4.0,6.64,13.97,28.66,20.79,14.28,10.17
model_4_ptm_r1_seed0.pdb,8.27,1.74,6.45,14.33,24.53,16.34,11.06,4.19
model_2_ptm_r3_seed7.pdb,9.51,2.77,5.41,11.41,25.8,17.96,12.02,8.25
model_1_ptm_r0_seed5.pdb,9.03,2.74,6.88,12.81,24.62,17.27,9.4,3.94
model_4_ptm_r2_seed8.pdb,8.2,2.92,5.56,13.78,24.07,17.43,11.1,4.78
model_3_ptm_r2_seed6.pdb,10.02,3.79,4.2,12.19,26.47,19.42,13.59,5.6
model_5_ptm_r0_seed1.pdb,5.98,3.59,5.2,12.3,22.15,17.77,12.56,6.7
model_5_ptm_r3_seed9.pdb,8.47,3.04,4.41,11.24,24.79,18.66,12.5,7.95
model_5_ptm_r3_seed8.pdb,9.21,2.74,4.09,8.47,25.72,17.1,13.32,8.72
model_5_ptm_r0_seed0.pdb,6.73,3.72,3.35,10.05,22.21,18.87,11.63,4.87
model_3_ptm_r2_seed7.pdb,12.2,6.07,0.58,7.51,27.74,21.33,15.72,9.48
model_4_ptm_r2_seed9.pdb,8.49,1.38,4.24,13.0,24.13,16.8,11.08,5.43
model_1_ptm_r0_seed4.pdb,9.41,3.59,7.02,12.52,24.57,17.16,10.28,4.99
model_2_ptm_r3_seed6.pdb,10.31,2.3,4.58,9.09,27.18,19.37,12.89,10.31
model_4_ptm_r1_seed1.pdb,9.2,0.98,4.8,13.48,24.35,16.11,11.57,4.07
model_4_ptm_r1_seed3.pdb,6.78,2.25,6.31,13.61,22.96,13.89,10.42,5.6
model_2_ptm_r3_seed4.pdb,8.71,1.29,6.2,10.62,25.98,17.33,11.47,8.23
model_1_ptm_r0_seed6.pdb,10.25,3.88,2.52,10.82,25.41,18.39,11.82,5.06
model_3_ptm_r2_seed5.pdb,10.43,1.41,1.96,9.0,26.02,15.81,13.82,8.4
model_5_ptm_r0_seed2.pdb,9.72,2.95,2.94,10.56,25.55,18.34,12.64,6.95
model_5_ptm_r0_seed3.pdb,9.49,4.54,4.56,11.59,24.83,19.0,13.03,7.03
model_3_ptm_r2_seed4.pdb,9.58,5.16,1.67,10.23,26.36,21.09,15.87,7.73
model_1_ptm_r0_seed7.pdb,9.52,3.78,5.45,12.69,25.44,18.9,11.68,4.88
model_2_ptm_r3_seed5.pdb,8.7,1.8,5.52,12.55,26.5,18.4,13.3,12.86
model_4_ptm_r1_seed2.pdb,7.38,2.37,4.87,12.71,22.24,15.47,11.53,3.36
model_3_ptm_r3_seed0.pdb,12.43,5.41,0.43,7.27,28.16,20.64,15.08,9.45
model_5_ptm_r1_seed7.pdb,7.95,3.74,5.49,11.28,23.54,18.75,12.43,6.44
model_3_ptm_r0_seed8.pdb,8.56,2.77,2.65,11.03,25.11,18.22,12.92,4.23
